"","country","Region","year","population","life","gdp"
"1","Afghanistan","South Asia","1800",3280000,28.211,603
"2","Albania","Europe & Central Asia","1800",410445,35.4,667
"3","Algeria","Middle East & North Africa","1800",2503218,28.8224,716
"4","Angola","Sub-Saharan Africa","1800",1567028,26.98,618
"5","Antigua and Barbuda","America","1800",37000,33.536,757
"6","Argentina","America","1800",534000,33.2,1507
"7","Armenia","Europe & Central Asia","1800",413326,33.995,514
"8","Aruba","America","1800",19286,34.419,833
"9","Australia","East Asia & Pacific","1800",351014,34.05,815
"10","Austria","Europe & Central Asia","1800",3205587,34.4,1848
"11","Azerbaijan","Europe & Central Asia","1800",879960,29.165,775
"12","Bahamas","America","1800",27350,35.179,1445
"13","Bahrain","Middle East & North Africa","1800",64474,30.3,1235
"14","Bangladesh","South Asia","1800",19227358,25.5,876
"15","Barbados","America","1800",81729,32.124,913
"16","Belarus","Europe & Central Asia","1800",2355081,36.2,608
"17","Belgium","Europe & Central Asia","1800",3138137,40,2412
"18","Belize","America","1800",25526,26.5,579
"19","Benin","Sub-Saharan Africa","1800",636559,31,597
"20","Bhutan","South Asia","1800",89989,28.799,629
"21","Bolivia","America","1800",1100000,33,854
"22","Bosnia and Herzegovina","Europe & Central Asia","1800",851806,35.1,669
"23","Botswana","Sub-Saharan Africa","1800",121000,33.6,397
"24","Brazil","America","1800",3639636,32,1109
"25","Brunei","East Asia & Pacific","1800",2128,29.2,1512
"26","Bulgaria","Europe & Central Asia","1800",1992320,35.8,1089
"27","Burkina Faso","Sub-Saharan Africa","1800",1665421,29.2,480
"28","Burundi","Sub-Saharan Africa","1800",899097,31.5,418
"29","Cambodia","East Asia & Pacific","1800",2090000,35,903
"30","Cameroon","Sub-Saharan Africa","1800",1860054,28.75,626
"31","Canada","America","1800",645526,39,1314
"32","Cape Verde","Sub-Saharan Africa","1800",55716,33.8,529
"33","Chad","Sub-Saharan Africa","1800",1432000,30.9,418
"34","Chile","America","1800",771447,32,1026
"35","China","East Asia & Pacific","1800",321675013,32,985
"36","Colombia","America","1800",1206000,32,963
"37","Comoros","Sub-Saharan Africa","1800",56346,32.1,696
"38","Congo, Dem. Rep.","Sub-Saharan Africa","1800",5163819,31.6,485
"39","Congo, Rep.","Sub-Saharan Africa","1800",314465,32.7,575
"40","Costa Rica","America","1800",51987,30.2147,775
"41","Cote d'Ivoire","Sub-Saharan Africa","1800",1088530,31.156,812
"42","Cuba","America","1800",345043,32.2,864
"43","Cyprus","Europe & Central Asia","1800",184392,38.5,853
"44","Denmark","Europe & Central Asia","1800",1062514,37.4055532520793,2013
"45","Djibouti","Middle East & North Africa","1800",22848,29.9,752
"46","Ecuador","America","1800",5e+05,32.9,529
"47","Egypt","Middle East & North Africa","1800",4243515,33,791
"48","El Salvador","America","1800",248000,28.7,974
"49","Equatorial Guinea","Sub-Saharan Africa","1800",80377,29.8,356
"50","Eritrea","Sub-Saharan Africa","1800",205010,30.2,532
"51","Estonia","Europe & Central Asia","1800",334136,36.1419674277376,938
"52","Ethiopia","Sub-Saharan Africa","1800",2948990,29.7,523
"53","Fiji","East Asia & Pacific","1800",130533,26.1,785
"54","Finland","Europe & Central Asia","1800",977662,36.5731262034154,1244
"55","France","Europe & Central Asia","1800",29355111,33.967170239091,1803
"56","Gabon","Sub-Saharan Africa","1800",158227,30.6,390
"57","Gambia","Sub-Saharan Africa","1800",103274,28.8,813
"58","Georgia","Europe & Central Asia","1800",1072178,31.871,543
"59","Germany","Europe & Central Asia","1800",22886919,38.37,1639
"60","Ghana","Sub-Saharan Africa","1800",2016034,28,696
"61","Greece","Europe & Central Asia","1800",2151155,36.6,1371
"62","Greenland","Europe & Central Asia","1800",9584,33.867,393
"63","Grenada","America","1800",29409,31.4,959
"64","Guatemala","America","1800",458965,25.8,857
"65","Guinea","Sub-Saharan Africa","1800",983959,29.5,450
"66","Guinea-Bissau","Sub-Saharan Africa","1800",218167,32,777
"67","Guyana","America","1800",166034,31.12,1214
"68","Haiti","America","1800",723000,29,633
"69","Honduras","America","1800",126118,33.9,675
"70","Hong Kong, China","East Asia & Pacific","1800",20000,34.9,1007
"71","Hungary","Europe & Central Asia","1800",3499771,36,1249
"72","Iceland","Europe & Central Asia","1800",61428,42.8455991183074,926
"73","India","South Asia","1800",168574895,25.4424,1052
"74","Indonesia","East Asia & Pacific","1800",16108545,30,994
"75","Iran","Middle East & North Africa","1800",6269721,25.6,977
"76","Iraq","Middle East & North Africa","1800",1076920,31.2,970
"77","Ireland","Europe & Central Asia","1800",4064749,38.3,1447
"78","Israel","Middle East & North Africa","1800",209954,32,879
"79","Italy","Europe & Central Asia","1800",18822234,29.69,2225
"80","Jamaica","America","1800",401000,34.2,1170
"81","Japan","East Asia & Pacific","1800",30294378,36.4,1050
"82","Jordan","Middle East & North Africa","1800",217000,31.7,976
"83","Kazakhstan","Europe & Central Asia","1800",2041282,26.2,1140
"84","Kenya","Sub-Saharan Africa","1800",2574000,25.5,854
"85","Kiribati","East Asia & Pacific","1800",17876,24.9,551
"86","Kuwait","Middle East & North Africa","1800",81280,26,1097
"87","Latvia","Europe & Central Asia","1800",590588,33,751
"88","Lebanon","Middle East & North Africa","1800",332000,29.7,1081
