"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country","z"
"1",2000,"acura","NSX","Two Seaters",3,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA,"Japan","Two Seaters"
"2",2000,"acura","NSX","Two Seaters",3.2,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA,"Japan","Two Seaters"
"3",2000,"bmw","M Coupe","Two Seaters",3.2,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,23,19,NA,NA,"Germany","Two Seaters"
"4",2000,"bmw","Z3 Coupe","Two Seaters",2.8,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"Germany","Two Seaters"
"5",2000,"bmw","Z3 Coupe","Two Seaters",2.8,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"Germany","Two Seaters"
"6",2000,"bmw","Z3 Roadster","Two Seaters",2.5,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"Germany","Two Seaters"
"7",2000,"bmw","Z3 Roadster","Two Seaters",2.5,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,NA,NA,"Germany","Two Seaters"
"8",2000,"bmw","Z3 Roadster","Two Seaters",2.8,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"Germany","Two Seaters"
"9",2000,"bmw","Z3 Roadster","Two Seaters",2.8,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"Germany","Two Seaters"
"10",2000,"bmw","Z8","Two Seaters",4.9,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,19,15,NA,NA,"Germany","Two Seaters"
"11",2000,"mercedes-benz","SL500","Two Seaters",5,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,14,21,17,50,8,"Germany","Two Seaters"
"12",2000,"mercedes-benz","SL600","Two Seaters",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,18,14,50,8,"Germany","Two Seaters"
"13",2000,"mercedes-benz","SLK230 Kompressor","Two Seaters",2.3,"Automatic 5-spd","4","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,20,27,22,48,10,"Germany","Two Seaters"
"14",2000,"mercedes-benz","SLK230 Kompressor","Two Seaters",2.3,"Manual 5-spd","4","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,19,28,22,48,10,"Germany","Two Seaters"
"15",2000,"audi","TT Coupe","Minicompact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,29,23,65,14,"Germany","Minicompact Cars"
"16",2000,"audi","TT Coupe quattro","Minicompact Cars",1.8,"Manual 5-spd","4","4-Wheel or All-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,26,21,65,11,"Germany","Minicompact Cars"
"17",2000,"bmw","323i Convertible","Minicompact Cars",2.5,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,22,18,74,9,"Germany","Minicompact Cars"
"18",2000,"bmw","323i Convertible","Minicompact Cars",2.5,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,23,19,74,9,"Germany","Minicompact Cars"
"19",2000,"bmw","M Roadster","Minicompact Cars",3.2,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,23,19,74,9,"Germany","Minicompact Cars"
"20",2000,"jaguar","XK8 Convertible","Minicompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,70,10,"Britain","Minicompact Cars"
"21",2000,"jaguar","XKR Convertible","Minicompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,14,20,17,70,10,"Britain","Minicompact Cars"
"22",2000,"mercedes-benz","CLK320 (Cabriolet)","Minicompact Cars",3.2,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,76,6,"Germany","Minicompact Cars"
"23",2000,"mercedes-benz","CLK430 (Cabriolet)","Minicompact Cars",4.3,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,76,6,"Germany","Minicompact Cars"
"24",2000,"acura","Integra","Subcompact Cars",1.8,"Automatic 4-spd","4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,21,28,23,80,12.5,"Japan","Subcompact Cars"
"25",2000,"acura","Integra","Subcompact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,22,28,24,80,12.5,"Japan","Subcompact Cars"
"26",2000,"acura","Integra","Subcompact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,22,28,24,80,12.5,"Japan","Subcompact Cars"
"27",2000,"bmw","323ci","Subcompact Cars",2.5,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,19,84,9,"Germany","Subcompact Cars"
"28",2000,"bmw","323ci","Subcompact Cars",2.5,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,84,9,"Germany","Subcompact Cars"
"29",2000,"bmw","328ci","Subcompact Cars",2.8,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,25,19,84,9,"Germany","Subcompact Cars"
"30",2000,"bmw","328ci","Subcompact Cars",2.8,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,84,9,"Germany","Subcompact Cars"
"31",2000,"jaguar","XK8","Subcompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,75,11,"Britain","Subcompact Cars"
"32",2000,"jaguar","XKR","Subcompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,15,21,17,75,11,"Britain","Subcompact Cars"
"33",2000,"lexus","SC","Subcompact Cars",3,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,22,19,85,9,"Japan","Subcompact Cars"
"34",2000,"lexus","SC","Subcompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,85,9,"Japan","Subcompact Cars"
"35",2000,"mercedes-benz","CLK320","Subcompact Cars",3.2,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,81,11,"Germany","Subcompact Cars"
"36",2000,"mercedes-benz","CLK430","Subcompact Cars",4.3,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,81,11,"Germany","Subcompact Cars"
"37",2000,"audi","A4","Compact Cars",1.8,"Automatic 5-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,28,21,88,14,"Germany","Compact Cars"
"38",2000,"audi","A4","Compact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,29,24,88,14,"Germany","Compact Cars"
"39",2000,"audi","A4","Compact Cars",2.8,"Automatic 5-spd","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,88,14,"Germany","Compact Cars"
"40",2000,"audi","A4","Compact Cars",2.8,"Manual 5-spd","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,88,14,"Germany","Compact Cars"
"41",2000,"audi","A4 quattro","Compact Cars",1.8,"Automatic 5-spd","4","4-Wheel or All-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,26,20,88,14,"Germany","Compact Cars"
"42",2000,"audi","A4 quattro","Compact Cars",1.8,"Manual 5-spd","4","4-Wheel or All-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,26,22,88,14,"Germany","Compact Cars"
